dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-1.csv,Anova3,0.81,0.63,0.65,0.64,0.28,0.73,0.74,0.73
prop-1.csv,Anova4,0.8,0.63,0.65,0.64,0.28,0.75,0.74,0.73
prop-1.csv,DropCorrelated1,0.8,0.62,0.64,0.63,0.26,0.72,0.74,0.73
prop-1.csv,DropCorrelated2,0.8,0.63,0.64,0.63,0.27,0.72,0.74,0.73
prop-1.csv,DropCorrelated3,0.81,0.63,0.64,0.63,0.27,0.73,0.74,0.73
prop-1.csv,DropCorrelated4,0.81,0.63,0.65,0.64,0.28,0.75,0.74,0.74
prop-1.csv,SmartCorrelated1,0.81,0.64,0.66,0.65,0.3,0.74,0.75,0.74
prop-1.csv,SmartCorrelated2,0.79,0.61,0.63,0.62,0.24,0.73,0.73,0.72
prop-1.csv,SmartCorrelated3,0.81,0.64,0.65,0.64,0.29,0.74,0.75,0.74
prop-1.csv,SmartCorrelated4,0.81,0.64,0.67,0.65,0.31,0.75,0.75,0.75
prop-1.csv,RFE-Logistic1,0.81,0.63,0.62,0.62,0.25,0.69,0.73,0.72
prop-1.csv,RFE-Logistic2,0.8,0.63,0.64,0.63,0.27,0.72,0.74,0.73
prop-1.csv,RFE-Logistic3,0.81,0.63,0.65,0.64,0.28,0.73,0.74,0.73
prop-1.csv,RFE-Logistic4,0.81,0.63,0.65,0.64,0.28,0.72,0.74,0.74
prop-1.csv,Forward1,0.8,0.62,0.63,0.62,0.25,0.73,0.73,0.72
prop-1.csv,Forward2,0.81,0.63,0.63,0.63,0.26,0.75,0.74,0.73
prop-1.csv,Forward3,0.81,0.63,0.64,0.63,0.27,0.75,0.74,0.73
prop-1.csv,Forward4,0.81,0.63,0.65,0.64,0.27,0.75,0.74,0.73
prop-1.csv,RFE-Random1,0.84,0.62,0.54,0.54,0.13,0.58,0.69,0.67
prop-1.csv,RFE-Random2,0.82,0.61,0.57,0.58,0.18,0.65,0.71,0.69
prop-1.csv,RFE-Random3,0.81,0.62,0.6,0.6,0.21,0.68,0.72,0.71
prop-1.csv,RFE-Random4,0.82,0.63,0.62,0.63,0.25,0.69,0.74,0.72
prop-1.csv,Backward1,0.8,0.63,0.65,0.64,0.28,0.74,0.74,0.74
prop-1.csv,Backward2,0.8,0.62,0.64,0.63,0.26,0.73,0.74,0.73
prop-1.csv,Backward3,0.79,0.62,0.65,0.63,0.26,0.73,0.74,0.73
prop-1.csv,Backward4,0.81,0.63,0.65,0.64,0.28,0.74,0.74,0.74
prop-1.csv,Auto-Spearman,0.8,0.64,0.67,0.65,0.3,0.67,0.75,0.74
prop-1.csv,ATE-FS,0.82,0.63,0.6,0.61,0.23,0.73,0.73,0.71
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-5.csv,None,0.77,0.58,0.59,0.58,0.16,0.69,0.69,0.69
prop-5.csv,GSMB,0.76,0.58,0.59,0.58,0.17,0.69,0.69,0.69
prop-5.csv,IAMB,0.75,0.57,0.59,0.58,0.16,0.69,0.69,0.68
prop-5.csv,IAMBnPC,0.72,0.56,0.59,0.57,0.15,0.67,0.67,0.67
prop-5.csv,LRH,0.76,0.57,0.59,0.58,0.16,0.68,0.69,0.68
prop-5.csv,BAMB,0.75,0.57,0.59,0.57,0.16,0.69,0.68,0.68
prop-5.csv,FBEDk,0.76,0.57,0.58,0.57,0.15,0.67,0.69,0.68
prop-5.csv,MMMB,0.74,0.57,0.59,0.57,0.16,0.69,0.68,0.68
prop-5.csv,PCMB,0.73,0.57,0.6,0.58,0.18,0.66,0.68,0.68
prop-5.csv,HITON_MB,0.73,0.58,0.61,0.58,0.18,0.69,0.69,0.69
prop-5.csv,MBOR,0.76,0.57,0.58,0.57,0.15,0.68,0.69,0.68
prop-5.csv,IPCMB,0.71,0.56,0.58,0.56,0.14,0.64,0.66,0.66
prop-5.csv,STMB,0.73,0.57,0.59,0.57,0.16,0.67,0.68,0.68
prop-5.csv,KIAMB,0.76,0.57,0.58,0.57,0.15,0.68,0.69,0.68
prop-5.csv,TIE_P,0.75,0.57,0.58,0.57,0.15,0.68,0.68,0.68
prop-5.csv,Chi-Square1,0.77,0.57,0.57,0.57,0.14,0.65,0.69,0.68
prop-5.csv,Chi-Square2,0.77,0.56,0.56,0.56,0.12,0.64,0.68,0.67
prop-5.csv,Chi-Square3,0.78,0.57,0.57,0.57,0.14,0.65,0.69,0.68
prop-5.csv,Chi-Square4,0.77,0.56,0.57,0.57,0.13,0.67,0.68,0.68
prop-5.csv,Mutual-Info1,0.77,0.56,0.56,0.56,0.12,0.66,0.68,0.68
prop-5.csv,Mutual-Info2,0.76,0.56,0.57,0.56,0.13,0.66,0.68,0.67
prop-5.csv,Mutual-Info3,0.75,0.57,0.58,0.57,0.15,0.69,0.68,0.68
prop-5.csv,Mutual-Info4,0.76,0.56,0.57,0.56,0.13,0.68,0.68,0.68
prop-5.csv,Anova1,0.77,0.56,0.56,0.56,0.12,0.64,0.68,0.67
prop-5.csv,Anova2,0.77,0.56,0.57,0.57,0.13,0.66,0.68,0.68
prop-5.csv,Anova3,0.75,0.56,0.58,0.57,0.14,0.68,0.68,0.68
prop-5.csv,Anova4,0.77,0.57,0.58,0.58,0.15,0.68,0.69,0.68
prop-5.csv,DropCorrelated1,0.79,0.58,0.58,0.58,0.16,0.71,0.7,0.69
prop-5.csv,DropCorrelated2,0.79,0.59,0.59,0.59,0.18,0.71,0.71,0.7
prop-5.csv,DropCorrelated3,0.77,0.57,0.58,0.58,0.15,0.69,0.69,0.69
prop-5.csv,DropCorrelated4,0.76,0.57,0.58,0.58,0.16,0.7,0.69,0.69
prop-5.csv,SmartCorrelated1,0.78,0.57,0.57,0.57,0.13,0.68,0.69,0.68
prop-5.csv,SmartCorrelated2,0.76,0.58,0.59,0.58,0.16,0.7,0.69,0.69
prop-5.csv,SmartCorrelated3,0.76,0.57,0.58,0.57,0.15,0.68,0.69,0.68
prop-5.csv,SmartCorrelated4,0.74,0.57,0.59,0.57,0.15,0.68,0.68,0.68
prop-5.csv,RFE-Logistic1,0.76,0.55,0.55,0.55,0.1,0.63,0.67,0.67
