dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-2.csv,Anova3,0.68,0.55,0.62,0.53,0.16,0.62,0.65,0.65
prop-2.csv,Anova4,0.68,0.55,0.62,0.53,0.16,0.62,0.65,0.65
prop-2.csv,DropCorrelated1,0.59,0.55,0.64,0.49,0.17,0.64,0.61,0.61
prop-2.csv,DropCorrelated2,0.61,0.56,0.65,0.5,0.19,0.65,0.62,0.62
prop-2.csv,DropCorrelated3,0.72,0.55,0.61,0.54,0.15,0.61,0.67,0.67
prop-2.csv,DropCorrelated4,0.67,0.55,0.62,0.53,0.16,0.62,0.65,0.65
prop-2.csv,SmartCorrelated1,0.66,0.56,0.64,0.53,0.18,0.64,0.65,0.65
prop-2.csv,SmartCorrelated2,0.68,0.55,0.62,0.53,0.16,0.62,0.66,0.66
prop-2.csv,SmartCorrelated3,0.6,0.55,0.64,0.49,0.17,0.64,0.61,0.61
prop-2.csv,SmartCorrelated4,0.68,0.55,0.62,0.53,0.16,0.62,0.66,0.66
prop-2.csv,RFE-Logistic1,0.72,0.55,0.61,0.55,0.16,0.61,0.67,0.67
prop-2.csv,RFE-Logistic2,0.73,0.55,0.61,0.55,0.15,0.61,0.68,0.68
prop-2.csv,RFE-Logistic3,0.72,0.55,0.61,0.54,0.16,0.61,0.67,0.67
prop-2.csv,RFE-Logistic4,0.72,0.55,0.61,0.55,0.16,0.61,0.67,0.67
prop-2.csv,Forward1,0.76,0.56,0.6,0.56,0.15,0.6,0.69,0.68
prop-2.csv,Forward2,0.72,0.55,0.61,0.55,0.16,0.61,0.67,0.67
prop-2.csv,Forward3,0.72,0.55,0.61,0.55,0.16,0.61,0.67,0.67
prop-2.csv,Forward4,0.72,0.55,0.61,0.55,0.16,0.61,0.67,0.67
prop-2.csv,RFE-Random1,0.61,0.53,0.58,0.48,0.1,0.58,0.6,0.6
prop-2.csv,RFE-Random2,0.49,0.54,0.51,0.31,0.03,0.51,0.34,0.43
prop-2.csv,RFE-Random3,0.78,0.56,0.59,0.56,0.14,0.59,0.69,0.69
prop-2.csv,RFE-Random4,0.73,0.55,0.61,0.55,0.15,0.61,0.68,0.68
prop-2.csv,Backward1,0.61,0.55,0.64,0.5,0.17,0.64,0.62,0.62
prop-2.csv,Backward2,0.59,0.55,0.64,0.49,0.17,0.64,0.61,0.61
prop-2.csv,Backward3,0.62,0.56,0.65,0.51,0.19,0.65,0.63,0.63
prop-2.csv,Backward4,0.74,0.56,0.61,0.55,0.16,0.61,0.68,0.68
prop-2.csv,Auto-Spearman,0.76,0.56,0.61,0.56,0.16,0.61,0.69,0.69
prop-2.csv,ATE-FS,0.65,0.54,0.59,0.5,0.12,0.59,0.62,0.62
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-1.csv,None,0.71,0.59,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,GSMB,0.57,0.56,0.62,0.51,0.18,0.62,0.59,0.59
prop-1.csv,IAMB,0.59,0.56,0.61,0.51,0.16,0.61,0.6,0.6
prop-1.csv,IAMBnPC,0.57,0.55,0.61,0.5,0.15,0.61,0.58,0.58
prop-1.csv,LRH,0.59,0.55,0.61,0.51,0.15,0.61,0.59,0.59
prop-1.csv,BAMB,0.59,0.55,0.61,0.51,0.15,0.61,0.59,0.59
prop-1.csv,FBEDk,0.57,0.56,0.62,0.51,0.18,0.62,0.58,0.58
prop-1.csv,MMMB,0.59,0.56,0.61,0.51,0.16,0.61,0.6,0.6
prop-1.csv,PCMB,0.59,0.56,0.61,0.51,0.15,0.61,0.6,0.6
prop-1.csv,HITON_MB,0.59,0.56,0.61,0.51,0.16,0.61,0.6,0.6
prop-1.csv,MBOR,0.59,0.56,0.61,0.51,0.16,0.61,0.6,0.6
prop-1.csv,IPCMB,0.59,0.56,0.61,0.51,0.16,0.61,0.6,0.6
prop-1.csv,STMB,0.59,0.56,0.61,0.51,0.16,0.61,0.6,0.6
prop-1.csv,KIAMB,0.57,0.56,0.62,0.51,0.18,0.62,0.58,0.59
prop-1.csv,TIE_P,0.57,0.56,0.62,0.51,0.18,0.62,0.59,0.59
prop-1.csv,Chi-Square1,0.72,0.57,0.62,0.58,0.19,0.62,0.68,0.68
prop-1.csv,Chi-Square2,0.72,0.59,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,Chi-Square3,0.71,0.59,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,Chi-Square4,0.71,0.59,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,Mutual-Info1,0.71,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,Mutual-Info2,0.71,0.58,0.64,0.58,0.21,0.64,0.69,0.69
prop-1.csv,Mutual-Info3,0.71,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,Mutual-Info4,0.7,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,Anova1,0.7,0.59,0.65,0.58,0.22,0.65,0.68,0.68
prop-1.csv,Anova2,0.71,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,Anova3,0.71,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,Anova4,0.7,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,DropCorrelated1,0.64,0.56,0.62,0.54,0.17,0.62,0.63,0.63
prop-1.csv,DropCorrelated2,0.64,0.56,0.61,0.54,0.17,0.61,0.63,0.63
prop-1.csv,DropCorrelated3,0.7,0.59,0.66,0.59,0.24,0.66,0.68,0.68
prop-1.csv,DropCorrelated4,0.7,0.59,0.65,0.59,0.23,0.65,0.69,0.69
prop-1.csv,SmartCorrelated1,0.67,0.57,0.62,0.56,0.18,0.62,0.66,0.66
prop-1.csv,SmartCorrelated2,0.69,0.58,0.65,0.57,0.22,0.65,0.67,0.67
prop-1.csv,SmartCorrelated3,0.7,0.58,0.65,0.58,0.22,0.65,0.68,0.68
prop-1.csv,SmartCorrelated4,0.71,0.59,0.65,0.59,0.23,0.65,0.69,0.69
prop-1.csv,RFE-Logistic1,0.7,0.56,0.61,0.56,0.17,0.61,0.67,0.67
prop-1.csv,RFE-Logistic2,0.7,0.57,0.61,0.56,0.17,0.61,0.67,0.67
prop-1.csv,RFE-Logistic3,0.72,0.58,0.64,0.59,0.21,0.64,0.69,0.69
prop-1.csv,RFE-Logistic4,0.71,0.59,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,Forward1,0.69,0.58,0.65,0.58,0.22,0.65,0.67,0.67
prop-1.csv,Forward2,0.7,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,Forward3,0.7,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,Forward4,0.7,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,RFE-Random1,0.58,0.52,0.54,0.48,0.06,0.54,0.57,0.57
prop-1.csv,RFE-Random2,0.73,0.53,0.54,0.54,0.08,0.54,0.65,0.65
prop-1.csv,RFE-Random3,0.77,0.57,0.58,0.58,0.16,0.58,0.69,0.69
prop-1.csv,RFE-Random4,0.77,0.57,0.58,0.58,0.16,0.58,0.69,0.69
prop-1.csv,Backward1,0.7,0.58,0.64,0.58,0.22,0.64,0.68,0.68
prop-1.csv,Backward2,0.7,0.58,0.64,0.58,0.22,0.64,0.68,0.68
prop-1.csv,Backward3,0.71,0.58,0.64,0.58,0.22,0.64,0.68,0.68
prop-1.csv,Backward4,0.7,0.59,0.65,0.58,0.23,0.65,0.68,0.68
prop-1.csv,Auto-Spearman,0.72,0.59,0.65,0.59,0.23,0.65,0.69,0.69
prop-1.csv,ATE-FS,0.69,0.58,0.64,0.58,0.22,0.64,0.68,0.68
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-5.csv,None,0.64,0.57,0.63,0.55,0.2,0.63,0.64,0.64
prop-5.csv,GSMB,0.44,0.54,0.57,0.42,0.11,0.57,0.46,0.47
prop-5.csv,IAMB,0.44,0.54,0.57,0.41,0.11,0.57,0.45,0.47
prop-5.csv,IAMBnPC,0.38,0.54,0.56,0.37,0.1,0.56,0.39,0.42
prop-5.csv,LRH,0.43,0.54,0.57,0.41,0.11,0.57,0.45,0.46
prop-5.csv,BAMB,0.45,0.52,0.54,0.41,0.06,0.54,0.46,0.47
prop-5.csv,FBEDk,0.43,0.54,0.57,0.41,0.11,0.57,0.45,0.46
prop-5.csv,MMMB,0.45,0.52,0.54,0.41,0.06,0.54,0.46,0.47
prop-5.csv,PCMB,0.45,0.52,0.54,0.41,0.06,0.54,0.46,0.47
prop-5.csv,HITON_MB,0.38,0.54,0.56,0.37,0.1,0.56,0.39,0.42
prop-5.csv,MBOR,0.45,0.54,0.58,0.42,0.12,0.58,0.46,0.47
prop-5.csv,IPCMB,0.45,0.52,0.54,0.41,0.06,0.54,0.46,0.47
prop-5.csv,STMB,0.44,0.54,0.58,0.42,0.11,0.58,0.46,0.47
prop-5.csv,KIAMB,0.44,0.54,0.58,0.41,0.11,0.58,0.46,0.47
prop-5.csv,TIE_P,0.47,0.55,0.59,0.44,0.13,0.59,0.49,0.49
prop-5.csv,Chi-Square1,0.63,0.57,0.63,0.54,0.19,0.63,0.63,0.63
prop-5.csv,Chi-Square2,0.64,0.57,0.64,0.55,0.2,0.64,0.64,0.64
prop-5.csv,Chi-Square3,0.64,0.57,0.63,0.55,0.19,0.63,0.64,0.64
prop-5.csv,Chi-Square4,0.64,0.57,0.63,0.55,0.2,0.63,0.64,0.64
prop-5.csv,Mutual-Info1,0.63,0.56,0.61,0.54,0.17,0.61,0.63,0.63
prop-5.csv,Mutual-Info2,0.64,0.57,0.64,0.55,0.2,0.64,0.64,0.64
prop-5.csv,Mutual-Info3,0.64,0.57,0.64,0.55,0.2,0.64,0.64,0.64
prop-5.csv,Mutual-Info4,0.64,0.57,0.64,0.55,0.2,0.64,0.64,0.64
prop-5.csv,Anova1,0.64,0.57,0.64,0.55,0.2,0.64,0.64,0.64
prop-5.csv,Anova2,0.64,0.57,0.64,0.55,0.2,0.64,0.64,0.64
prop-5.csv,Anova3,0.64,0.57,0.64,0.55,0.2,0.64,0.64,0.64
prop-5.csv,Anova4,0.64,0.57,0.64,0.55,0.2,0.64,0.64,0.64
prop-5.csv,DropCorrelated1,0.59,0.57,0.63,0.52,0.19,0.63,0.6,0.6
prop-5.csv,DropCorrelated2,0.62,0.57,0.63,0.54,0.19,0.63,0.62,0.62
prop-5.csv,DropCorrelated3,0.61,0.57,0.64,0.54,0.2,0.64,0.62,0.62
prop-5.csv,DropCorrelated4,0.61,0.57,0.64,0.54,0.2,0.64,0.62,0.62
prop-5.csv,SmartCorrelated1,0.61,0.57,0.63,0.53,0.19,0.63,0.61,0.61
prop-5.csv,SmartCorrelated2,0.64,0.57,0.63,0.55,0.19,0.63,0.63,0.63
prop-5.csv,SmartCorrelated3,0.62,0.57,0.64,0.54,0.2,0.64,0.62,0.62
prop-5.csv,SmartCorrelated4,0.62,0.57,0.64,0.54,0.2,0.64,0.62,0.62
prop-5.csv,RFE-Logistic1,0.64,0.57,0.63,0.55,0.2,0.63,0.64,0.64
prop-5.csv,RFE-Logistic2,0.64,0.57,0.63,0.55,0.2,0.63,0.64,0.64
prop-5.csv,RFE-Logistic3,0.64,0.57,0.63,0.55,0.2,0.63,0.64,0.64
prop-5.csv,RFE-Logistic4,0.64,0.57,0.63,0.55,0.2,0.63,0.64,0.64
