dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-2.csv,DropCorrelated4,0.85,0.62,0.63,0.62,0.25,0.78,0.74,0.73
prop-2.csv,SmartCorrelated1,0.86,0.65,0.68,0.66,0.32,0.82,0.78,0.76
prop-2.csv,SmartCorrelated2,0.85,0.61,0.62,0.62,0.24,0.77,0.74,0.73
prop-2.csv,SmartCorrelated3,0.78,0.6,0.69,0.61,0.28,0.8,0.74,0.74
prop-2.csv,SmartCorrelated4,0.85,0.62,0.62,0.62,0.24,0.79,0.74,0.73
prop-2.csv,RFE-Logistic1,0.83,0.59,0.61,0.6,0.21,0.73,0.73,0.72
prop-2.csv,RFE-Logistic2,0.85,0.61,0.62,0.61,0.23,0.74,0.74,0.72
prop-2.csv,RFE-Logistic3,0.85,0.61,0.62,0.62,0.23,0.77,0.74,0.72
prop-2.csv,RFE-Logistic4,0.85,0.62,0.63,0.62,0.24,0.79,0.74,0.73
prop-2.csv,Forward1,0.83,0.6,0.63,0.61,0.23,0.75,0.73,0.72
prop-2.csv,Forward2,0.84,0.6,0.63,0.61,0.23,0.77,0.74,0.73
prop-2.csv,Forward3,0.76,0.6,0.71,0.61,0.29,0.8,0.74,0.74
prop-2.csv,Forward4,0.76,0.6,0.71,0.61,0.29,0.8,0.74,0.74
prop-2.csv,RFE-Random1,0.6,0.54,0.59,0.48,0.12,0.61,0.6,0.6
prop-2.csv,RFE-Random2,0.66,0.54,0.6,0.51,0.12,0.66,0.63,0.63
prop-2.csv,RFE-Random3,0.82,0.59,0.64,0.61,0.22,0.77,0.73,0.72
prop-2.csv,RFE-Random4,0.78,0.61,0.71,0.62,0.3,0.8,0.75,0.75
prop-2.csv,Backward1,0.85,0.62,0.63,0.62,0.25,0.77,0.74,0.73
prop-2.csv,Backward2,0.85,0.62,0.63,0.62,0.25,0.78,0.74,0.73
prop-2.csv,Backward3,0.85,0.62,0.63,0.63,0.25,0.8,0.75,0.73
prop-2.csv,Backward4,0.85,0.62,0.63,0.62,0.24,0.79,0.74,0.73
prop-2.csv,Auto-Spearman,0.88,0.68,0.7,0.69,0.38,0.7,0.79,0.78
prop-2.csv,ATE-FS,0.72,0.57,0.65,0.56,0.21,0.73,0.69,0.69
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-1.csv,None,0.83,0.67,0.68,0.68,0.35,0.81,0.77,0.76
prop-1.csv,GSMB,0.79,0.61,0.64,0.62,0.25,0.72,0.73,0.72
prop-1.csv,IAMB,0.78,0.61,0.64,0.62,0.25,0.72,0.73,0.72
