dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-1.csv,MMMB,0.59,0.56,0.61,0.51,0.16,0.61,0.59,0.59
prop-1.csv,PCMB,0.58,0.56,0.61,0.51,0.16,0.61,0.59,0.59
prop-1.csv,HITON_MB,0.58,0.56,0.61,0.51,0.16,0.61,0.59,0.59
prop-1.csv,MBOR,0.59,0.56,0.61,0.51,0.16,0.61,0.59,0.59
prop-1.csv,IPCMB,0.58,0.56,0.61,0.51,0.16,0.61,0.59,0.59
prop-1.csv,STMB,0.59,0.56,0.61,0.51,0.16,0.61,0.59,0.59
prop-1.csv,KIAMB,0.59,0.56,0.61,0.51,0.16,0.61,0.59,0.59
prop-1.csv,TIE_P,0.58,0.56,0.61,0.51,0.16,0.61,0.59,0.59
prop-1.csv,Chi-Square1,0.7,0.57,0.62,0.57,0.18,0.62,0.67,0.67
prop-1.csv,Chi-Square2,0.71,0.58,0.64,0.58,0.22,0.64,0.68,0.68
prop-1.csv,Chi-Square3,0.71,0.59,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,Chi-Square4,0.71,0.59,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,Mutual-Info1,0.71,0.58,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,Mutual-Info2,0.71,0.59,0.65,0.59,0.23,0.65,0.69,0.69
prop-1.csv,Mutual-Info3,0.71,0.59,0.65,0.59,0.23,0.65,0.69,0.69
prop-1.csv,Mutual-Info4,0.7,0.58,0.64,0.58,0.22,0.64,0.68,0.68
prop-1.csv,Anova1,0.71,0.58,0.64,0.58,0.22,0.64,0.68,0.68
prop-1.csv,Anova2,0.71,0.58,0.64,0.58,0.22,0.64,0.69,0.69
prop-1.csv,Anova3,0.71,0.59,0.65,0.59,0.22,0.65,0.69,0.69
prop-1.csv,Anova4,0.72,0.59,0.65,0.59,0.23,0.65,0.69,0.69
