dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-2.csv,Mutual-Info2,0.84,0.62,0.66,0.63,0.28,0.75,0.76,0.75
prop-2.csv,Mutual-Info3,0.84,0.62,0.66,0.63,0.27,0.74,0.75,0.74
prop-2.csv,Mutual-Info4,0.85,0.63,0.65,0.64,0.28,0.71,0.76,0.74
prop-2.csv,Anova1,0.83,0.59,0.61,0.6,0.2,0.7,0.73,0.72
prop-2.csv,Anova2,0.83,0.59,0.61,0.59,0.19,0.69,0.72,0.71
prop-2.csv,Anova3,0.83,0.59,0.61,0.6,0.21,0.68,0.73,0.72
prop-2.csv,Anova4,0.82,0.59,0.63,0.6,0.22,0.7,0.73,0.72
prop-2.csv,DropCorrelated1,0.88,0.63,0.57,0.58,0.19,0.67,0.71,0.69
prop-2.csv,DropCorrelated2,0.86,0.61,0.59,0.6,0.2,0.71,0.72,0.71
prop-2.csv,DropCorrelated3,0.83,0.6,0.62,0.61,0.22,0.69,0.73,0.72
prop-2.csv,DropCorrelated4,0.81,0.6,0.65,0.61,0.24,0.71,0.74,0.73
prop-2.csv,SmartCorrelated1,0.87,0.6,0.56,0.57,0.16,0.66,0.71,0.69
prop-2.csv,SmartCorrelated2,0.85,0.61,0.62,0.61,0.22,0.73,0.73,0.72
prop-2.csv,SmartCorrelated3,0.83,0.59,0.62,0.6,0.21,0.69,0.73,0.72
prop-2.csv,SmartCorrelated4,0.82,0.59,0.63,0.6,0.22,0.69,0.73,0.72
prop-2.csv,RFE-Logistic1,0.83,0.59,0.6,0.59,0.19,0.71,0.72,0.71
prop-2.csv,RFE-Logistic2,0.84,0.59,0.61,0.6,0.2,0.71,0.72,0.71
prop-2.csv,RFE-Logistic3,0.83,0.59,0.62,0.6,0.21,0.69,0.73,0.72
prop-2.csv,RFE-Logistic4,0.83,0.6,0.63,0.61,0.22,0.7,0.73,0.72
prop-2.csv,Forward1,0.84,0.6,0.61,0.61,0.21,0.73,0.73,0.72
prop-2.csv,Forward2,0.83,0.6,0.62,0.61,0.22,0.73,0.73,0.72
prop-2.csv,Forward3,0.83,0.59,0.61,0.6,0.2,0.71,0.72,0.71
prop-2.csv,Forward4,0.81,0.59,0.65,0.61,0.24,0.72,0.74,0.73
prop-2.csv,RFE-Random1,0.88,0.61,0.53,0.54,0.12,0.61,0.69,0.67
prop-2.csv,RFE-Random2,0.88,0.61,0.55,0.56,0.15,0.64,0.7,0.68
prop-2.csv,RFE-Random3,0.84,0.61,0.63,0.62,0.23,0.72,0.74,0.73
prop-2.csv,RFE-Random4,0.83,0.61,0.64,0.62,0.25,0.73,0.74,0.73
prop-2.csv,Backward1,0.85,0.62,0.62,0.62,0.24,0.73,0.74,0.73
prop-2.csv,Backward2,0.85,0.61,0.62,0.61,0.23,0.73,0.74,0.72
prop-2.csv,Backward3,0.84,0.61,0.64,0.62,0.25,0.74,0.75,0.74
prop-2.csv,Backward4,0.82,0.59,0.62,0.6,0.22,0.7,0.73,0.72
prop-2.csv,Auto-Spearman,0.84,0.63,0.66,0.64,0.28,0.66,0.76,0.75
prop-2.csv,ATE-FS,0.87,0.61,0.57,0.58,0.18,0.67,0.71,0.7
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-1.csv,None,0.81,0.65,0.68,0.66,0.32,0.75,0.76,0.75
prop-1.csv,GSMB,0.83,0.63,0.59,0.6,0.21,0.69,0.72,0.7
prop-1.csv,IAMB,0.83,0.63,0.58,0.59,0.2,0.69,0.72,0.7
prop-1.csv,IAMBnPC,0.82,0.62,0.59,0.6,0.2,0.68,0.72,0.7
prop-1.csv,LRH,0.83,0.63,0.58,0.59,0.21,0.7,0.72,0.7
prop-1.csv,BAMB,0.82,0.61,0.59,0.6,0.2,0.69,0.72,0.7
prop-1.csv,FBEDk,0.83,0.62,0.59,0.6,0.21,0.7,0.72,0.7
prop-1.csv,MMMB,0.83,0.63,0.58,0.6,0.21,0.68,0.72,0.7
prop-1.csv,PCMB,0.83,0.63,0.59,0.6,0.22,0.7,0.72,0.71
prop-1.csv,HITON_MB,0.82,0.62,0.59,0.6,0.2,0.7,0.72,0.7
prop-1.csv,MBOR,0.83,0.62,0.59,0.6,0.21,0.69,0.72,0.7
prop-1.csv,IPCMB,0.83,0.63,0.58,0.6,0.21,0.7,0.72,0.7
prop-1.csv,STMB,0.83,0.62,0.58,0.6,0.21,0.69,0.72,0.7
prop-1.csv,KIAMB,0.83,0.63,0.59,0.6,0.21,0.7,0.72,0.7
prop-1.csv,TIE_P,0.83,0.62,0.59,0.6,0.21,0.7,0.72,0.7
prop-1.csv,Chi-Square1,0.8,0.63,0.66,0.64,0.28,0.72,0.74,0.74
prop-1.csv,Chi-Square2,0.8,0.63,0.66,0.64,0.28,0.73,0.74,0.74
prop-1.csv,Chi-Square3,0.79,0.63,0.67,0.64,0.29,0.74,0.74,0.74
prop-1.csv,Chi-Square4,0.79,0.63,0.67,0.64,0.3,0.74,0.74,0.74
prop-1.csv,Mutual-Info1,0.79,0.63,0.67,0.64,0.29,0.74,0.75,0.74
prop-1.csv,Mutual-Info2,0.79,0.63,0.67,0.64,0.3,0.74,0.75,0.74
prop-1.csv,Mutual-Info3,0.8,0.63,0.66,0.64,0.29,0.73,0.75,0.74
prop-1.csv,Mutual-Info4,0.8,0.64,0.69,0.66,0.32,0.76,0.76,0.75
prop-1.csv,Anova1,0.79,0.63,0.67,0.64,0.3,0.74,0.75,0.74
prop-1.csv,Anova2,0.79,0.63,0.68,0.65,0.3,0.74,0.75,0.74
prop-1.csv,Anova3,0.8,0.63,0.66,0.64,0.29,0.73,0.75,0.74
prop-1.csv,Anova4,0.79,0.63,0.67,0.64,0.3,0.74,0.75,0.74
prop-1.csv,DropCorrelated1,0.8,0.64,0.66,0.65,0.3,0.73,0.75,0.74
prop-1.csv,DropCorrelated2,0.8,0.64,0.67,0.65,0.3,0.73,0.75,0.74
prop-1.csv,DropCorrelated3,0.81,0.64,0.66,0.65,0.3,0.74,0.75,0.74
prop-1.csv,DropCorrelated4,0.8,0.64,0.67,0.65,0.31,0.74,0.75,0.75
prop-1.csv,SmartCorrelated1,0.82,0.63,0.62,0.62,0.25,0.71,0.73,0.72
prop-1.csv,SmartCorrelated2,0.82,0.63,0.62,0.62,0.25,0.71,0.73,0.72
